name,Buy Price,Unlock Time,Buy Market,Sell Price,Sell Market,Profit,Relative Profit,Time Efficiency
Sticker | FASHR (Gold) | Paris 2023,1.162,0,Skinout,13.357499999999998,Buff,12.1955,10.49526678141136,985.3322800930723
Sealed Graffiti | Question Mark (Monarch Blue),0.17,0,Skinport,1.95,Buff,1.78,10.470588235294118,983.0153720409442
P250 | Cassette (Well-Worn),0.04,0,Skinport,0.45825,Buff,0.41825,10.45625,981.6692484626578
Galil AR | Destroyer (Well-Worn),0.04,0,Skinport,0.45825,Buff,0.41825,10.45625,981.6692484626578
SSG 08 | Lichen Dashed (Well-Worn),1.62,0,Skinport,18.5055,Buff,16.8855,10.423148148148147,978.561531065873
Sticker | RUSH (Foil) | Cologne 2016,33.28,0,Skinport,378.3,Buff,345.02,10.367187499999998,973.3077500821478
Dual Berettas | Dualing Dragons (Field-Tested),0.123,8,Skinout,1.4625,Buff,1.3395,10.890243902439023,972.5516094912323
Sticker | RUSH (Foil) | Atlanta 2017,120.48,0,Skinport,1365.0,Buff,1244.52,10.329681274900398,969.7865347510113
Sticker | Ten Years (Foil),0.408,6,Skinout,4.7677499999999995,Buff,4.359749999999999,10.68566176470588,966.092721500979
Dual Berettas | Urban Shock (Battle-Scarred),1.7,0,Skinport,19.1295,Buff,17.4295,10.25264705882353,962.5542936509909
Sealed Graffiti | Puke (Shark White),0.15,0,Skinport,1.68675,Buff,1.53675,10.245000000000001,961.836361075905
StatTrak™ Galil AR | Destroyer (Well-Worn),0.124,0,Skinout,1.39425,Buff,1.2702499999999999,10.243951612903224,961.737934835772
MAG-7 | Popdog (Field-Tested),0.105,0,Skinout,1.1797499999999999,Buff,1.0747499999999999,10.235714285714284,960.9645858061573
Sealed Graffiti | NT (War Pig Pink),0.04,0,Skinport,0.4485,Buff,0.40850000000000003,10.2125,958.7851476317888
Sealed Graffiti | Okay (Tracer Yellow),0.08,0,Skinport,0.897,Buff,0.8170000000000001,10.2125,958.7851476317888
Sealed Graffiti | 200 IQ (Wire Blue),0.04,0,Skinport,0.4485,Buff,0.40850000000000003,10.2125,958.7851476317888
Sticker | aliStair (Gold) | Rio 2022,5.22,0,Skinport,58.402499999999996,Buff,53.1825,10.188218390804598,956.5055054034266
Sticker | JT (Glitter) | Antwerp 2022,0.072,5,Skinout,0.82875,Buff,0.75675,10.510416666666668,956.1704360061377
StatTrak™ M4A4 | Poly Mag (Battle-Scarred),0.123,5,Skinout,1.4137499999999998,Buff,1.2907499999999998,10.493902439024389,954.668077275194
StatTrak™ Sawed-Off | Origami (Battle-Scarred),0.208,5,Skinout,2.38875,Buff,2.1807499999999997,10.484375,953.801331853496
Sticker | saffee (Holo) | Paris 2023,1.511,0,Skinout,16.828500000000002,Buff,15.317500000000003,10.137326273990737,951.7275758335198
Sealed Graffiti | Dead Now (Blood Red),0.1,0,Skinport,1.1115,Buff,1.0114999999999998,10.114999999999998,949.6315072994412
MAC-10 | Candy Apple (Minimal Wear),0.096,1,Skinout,1.0725,Buff,0.9765,10.171875,948.9928722034593
UMP-45 | Labyrinth (Well-Worn),0.09,0,Skinport,0.9944999999999999,Buff,0.9045,10.05,943.5290804112097
Sticker | Don't Worry,0.03,0,Skinport,0.3315,Buff,0.3015,10.05,943.5290804112097
Sealed Graffiti | Shining Star (Jungle Green),0.07,0,Skinport,0.77025,Buff,0.70025,10.003571428571428,939.1702040624727
Souvenir MP7 | Orange Peel (Factory New),13.3,0,Skinport,146.25,Buff,132.95,9.996240601503757,938.4819604284613
StatTrak™ UMP-45 | Primal Saber (Well-Worn),3.42,0,Skinport,37.596000000000004,Buff,34.176,9.992982456140352,938.1760743689013
G3SG1 | Polar Camo (Factory New),0.067,8,Skinout,0.77025,Buff,0.7032499999999999,10.496268656716417,937.3677088587211
P250 | Cassette (Field-Tested),0.04,0,Skinport,0.43875,Buff,0.39875,9.96875,935.9010468009201
MAC-10 | Oceanic (Battle-Scarred),0.04,0,Skinport,0.43875,Buff,0.39875,9.96875,935.9010468009201
Souvenir AUG | Sweeper (Minimal Wear),0.04,0,Skinport,0.43875,Buff,0.39875,9.96875,935.9010468009201
MAG-7 | Metallic DDPAT (Minimal Wear),0.105,3,Skinout,1.17,Buff,1.065,10.142857142857142,934.3949463709944
Sealed Graffiti | Goofy (Tracer Yellow),0.13,0,Skinport,1.4235,Buff,1.2934999999999999,9.95,934.1407313523916
PP-Bizon | Night Ops (Minimal Wear),0.05,0,Skinport,0.546,Buff,0.49600000000000005,9.92,931.3242266347462
P90 | Ash Wood (Field-Tested),0.076,0,Skinout,0.82875,Buff,0.75275,9.904605263157896,929.878915003323
Sticker | TeSeS (Gold) | Antwerp 2022,2.2,0,Skinout,23.97525,Buff,21.77525,9.897840909090908,929.2438538319399
Sealed Graffiti | Thoughtfull (Dust Brown),0.07,0,Skinport,0.7605,Buff,0.6904999999999999,9.864285714285712,926.0935750162616
MAC-10 | Monkeyflage (Minimal Wear),0.08,0,Skinport,0.86775,Buff,0.7877500000000001,9.846875,924.4589963854856
