Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
MAG-7 | Insomnia (Minimal Wear),Skinout,0.07,Buff,0.0838152,0.19735999999999998,0.0138152
P250 | Inferno (Battle-Scarred),Skinout,0.336,Buff,0.40231296,0.19735999999999992,0.06631295999999998
StatTrak™ MAC-10 | Button Masher (Battle-Scarred),Skinout,0.243,Buff,0.29055936000000004,0.19571753086419774,0.04755936000000005
Tec-9 | Bamboozle (Minimal Wear),Skinout,0.401,Buff,0.4791435600000001,0.19487172069825448,0.07814356000000006
SG 553 | Fallout Warning (Battle-Scarred),Skinout,0.785,Buff,0.9359364000000001,0.192275668789809,0.15093640000000008
P250 | Inferno (Field-Tested),Skinout,0.443,Buff,0.52803576,0.19195431151241527,0.08503575999999996
Glock-18 | Moonrise (Battle-Scarred),Skinout,0.177,Buff,0.21093492000000003,0.19172271186440698,0.033934920000000035
StatTrak™ G3SG1 | Scavenger (Well-Worn),Skinout,0.489,Buff,0.58251564,0.19123852760736199,0.09351564000000001
StatTrak™ Dual Berettas | Royal Consorts (Field-Tested),Skinout,0.604,Buff,0.7194138000000001,0.19108245033112603,0.11541380000000012
Sticker | JaCkz (Holo) | Antwerp 2022,Skinout,0.984,Buff,1.1720158800000002,0.19107304878048806,0.18801588000000025
FAMAS | Meow 36 (Minimal Wear),Skinout,0.088,Buff,0.104769,0.19055681818181827,0.016769000000000006
StatTrak™ MP9 | Deadly Poison (Minimal Wear),Skinout,0.701,Buff,0.83396124,0.18967366619115564,0.1329612400000001
M4A4 | Magnesium (Minimal Wear),Skinout,0.276,Buff,0.3282762,0.1894065217391304,0.052276199999999995
P2000 | Imperial (Field-Tested),Skinout,0.107,Buff,0.12711972000000002,0.18803476635514038,0.02011972000000002
SCAR-20 | Carbon Fiber (Minimal Wear),Skinout,0.127,Buff,0.15086736000000003,0.18793196850393726,0.023867360000000032
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested),Skinout,0.521,Buff,0.6188355600000001,0.18778418426103655,0.09783556000000004
