Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
Sticker | Brollan (Holo) | Paris 2023,Skinout,0.2,Buff,0.2597025,1.2985125,0.05970249999999999
StatTrak™ Galil AR | Akoben (Battle-Scarred),Skinout,0.127,Buff,0.1647575,1.2973031496062992,0.0377575
MP7 | Mischief (Field-Tested),Skinout,0.068,Buff,0.08796375,1.2935845588235293,0.01996374999999999
USP-S | Flashback (Battle-Scarred),Skinout,0.358,Buff,0.46215875,1.2909462290502793,0.10415875000000002
P90 | Ancient Earth (Field-Tested),Skinout,0.277,Buff,0.35744,1.2903971119133573,0.08043999999999996
StatTrak™ MAC-10 | Monkeyflage (Field-Tested),Skinout,0.078,Buff,0.10053,1.2888461538461538,0.022529999999999994
StatTrak™ P90 | Elite Build (Well-Worn),Skinout,0.14,Buff,0.18011625,1.2865446428571428,0.04011624999999999
Sticker | Heroic (Holo) | 2020 RMR,Skinout,0.076,Buff,0.09773749999999999,1.2860197368421051,0.021737499999999993
SCAR-20 | Assault (Minimal Wear),Skinout,0.086,Buff,0.11030375,1.2826017441860467,0.024303750000000013
Tec-9 | Cracked Opal (Factory New),Skinout,0.182,Buff,0.23317374999999999,1.2811744505494504,0.05117374999999999
CZ75-Auto | Yellow Jacket (Well-Worn),Skinout,2.173,Buff,2.7757449999999997,1.2773791992636905,0.6027449999999996
StatTrak™ Negev | Ultralight (Well-Worn),Skinout,0.058,Buff,0.07400125,1.275883620689655,0.01600125
StatTrak™ CZ75-Auto | Yellow Jacket (Battle-Scarred),Skinout,4.976,Buff,6.3375787500000005,1.2736291700160773,1.3615787500000005
Desert Eagle | Urban Rubble (Battle-Scarred),Skinout,0.136,Buff,0.173135,1.2730514705882352,0.037135
Tec-9 | Bamboozle (Battle-Scarred),Skinout,0.147,Buff,0.1870975,1.2727721088435375,0.04009750000000001
StatTrak™ MAG-7 | Justice (Well-Worn),Skinout,2.388,Buff,3.03824,1.2722948073701843,0.6502400000000002
StatTrak™ MAC-10 | Lapis Gator (Field-Tested),Skinout,0.403,Buff,0.51242375,1.2715229528535978,0.10942374999999993
MAC-10 | Whitefish (Field-Tested),Skinout,0.078,Buff,0.09913374999999999,1.2709455128205127,0.021133749999999993
StatTrak™ Nova | Wood Fired (Field-Tested),Skinout,0.088,Buff,0.11170000000000001,1.269318181818182,0.023700000000000013
Sticker | r3salt (Holo) | Paris 2023,Skinout,0.383,Buff,0.485895,1.2686553524804178,0.10289500000000001
